fecha,provincia,region,casos_diarios,fallecidos_diarios,poblacion,casos_acumulados,fallecidos_acumulados,casos_promedio_7d,fallecidos_promedio_7d,tasa_casos_100k,tasa_fallecidos_100k,mes,nombre_mes
2021-01-01,Buenos Aires,Pampeana,64,0,17541141,64,0,64.0,0.0,0.36,0.0,1,Enero
2021-01-02,Buenos Aires,Pampeana,32,0,17541141,96,0,48.0,0.0,0.18,0.0,1,Enero
2021-01-03,Buenos Aires,Pampeana,48,2,17541141,144,2,48.0,0.7,0.27,0.0114,1,Enero
2021-01-04,Buenos Aires,Pampeana,95,1,17541141,239,3,59.8,0.8,0.54,0.0057,1,Enero
2021-01-05,Buenos Aires,Pampeana,43,1,17541141,282,4,56.4,0.8,0.25,0.0057,1,Enero
2021-01-06,Buenos Aires,Pampeana,43,5,17541141,325,9,54.2,1.5,0.25,0.0285,1,Enero
2021-01-07,Buenos Aires,Pampeana,97,1,17541141,422,10,60.3,1.4,0.55,0.0057,1,Enero
2021-01-08,Buenos Aires,Pampeana,73,0,17541141,495,10,61.6,1.4,0.42,0.0,1,Enero
2021-01-09,Buenos Aires,Pampeana,25,4,17541141,520,14,60.6,2.0,0.14,0.0228,1,Enero
2021-01-10,Buenos Aires,Pampeana,46,3,17541141,566,17,60.3,2.1,0.26,0.0171,1,Enero
2021-01-11,Buenos Aires,Pampeana,36,4,17541141,602,21,51.9,2.6,0.21,0.0228,1,Enero
2021-01-12,Buenos Aires,Pampeana,36,0,17541141,638,21,50.9,2.4,0.21,0.0,1,Enero
2021-01-13,Buenos Aires,Pampeana,57,2,17541141,695,23,52.9,2.0,0.32,0.0114,1,Enero
2021-01-14,Buenos Aires,Pampeana,5,0,17541141,700,23,39.7,1.9,0.03,0.0,1,Enero
2021-01-15,Buenos Aires,Pampeana,5,2,17541141,705,25,30.0,2.1,0.03,0.0114,1,Enero
2021-01-16,Buenos Aires,Pampeana,23,0,17541141,728,25,29.7,1.6,0.13,0.0,1,Enero
2021-01-17,Buenos Aires,Pampeana,14,0,17541141,742,25,25.1,1.1,0.08,0.0,1,Enero
2021-01-18,Buenos Aires,Pampeana,60,2,17541141,802,27,28.6,0.9,0.34,0.0114,1,Enero
2021-01-19,Buenos Aires,Pampeana,23,0,17541141,825,27,26.7,0.9,0.13,0.0,1,Enero
2021-01-20,Buenos Aires,Pampeana,8,0,17541141,833,27,19.7,0.6,0.05,0.0,1,Enero
2021-01-21,Buenos Aires,Pampeana,94,1,17541141,927,28,32.4,0.7,0.54,0.0057,1,Enero
2021-01-22,Buenos Aires,Pampeana,44,1,17541141,971,29,38.0,0.6,0.25,0.0057,1,Enero
2021-01-23,Buenos Aires,Pampeana,37,2,17541141,1008,31,40.0,0.9,0.21,0.0114,1,Enero
2021-01-24,Buenos Aires,Pampeana,6,2,17541141,1014,33,38.9,1.1,0.03,0.0114,1,Enero
2021-01-25,Buenos Aires,Pampeana,35,3,17541141,1049,36,35.3,1.3,0.2,0.0171,1,Enero
2021-01-26,Buenos Aires,Pampeana,55,2,17541141,1104,38,39.9,1.6,0.31,0.0114,1,Enero
2021-01-27,Buenos Aires,Pampeana,17,0,17541141,1121,38,41.1,1.6,0.1,0.0,1,Enero
2021-01-28,Buenos Aires,Pampeana,63,0,17541141,1184,38,36.7,1.4,0.36,0.0,1,Enero
2021-01-29,Buenos Aires,Pampeana,34,0,17541141,1218,38,35.3,1.3,0.19,0.0,1,Enero
2021-01-30,Buenos Aires,Pampeana,30,1,17541141,1248,39,34.3,1.1,0.17,0.0057,1,Enero
2021-01-31,Buenos Aires,Pampeana,24,0,17541141,1272,39,36.9,0.9,0.14,0.0,1,Enero
2021-02-01,Buenos Aires,Pampeana,109,1,17541141,1381,40,47.4,0.6,0.62,0.0057,2,Febrero
2021-02-02,Buenos Aires,Pampeana,53,0,17541141,1434,40,47.1,0.3,0.3,0.0,2,Febrero
2021-02-03,Buenos Aires,Pampeana,22,1,17541141,1456,41,47.9,0.4,0.13,0.0057,2,Febrero
2021-02-04,Buenos Aires,Pampeana,79,1,17541141,1535,42,50.1,0.6,0.45,0.0057,2,Febrero
2021-02-05,Buenos Aires,Pampeana,18,0,17541141,1553,42,47.9,0.6,0.1,0.0,2,Febrero
2021-02-06,Buenos Aires,Pampeana,43,0,17541141,1596,42,49.7,0.4,0.25,0.0,2,Febrero
2021-02-07,Buenos Aires,Pampeana,5,0,17541141,1601,42,47.0,0.4,0.03,0.0,2,Febrero
2021-02-08,Buenos Aires,Pampeana,17,0,17541141,1618,42,33.9,0.3,0.1,0.0,2,Febrero
2021-02-09,Buenos Aires,Pampeana,63,1,17541141,1681,43,35.3,0.4,0.36,0.0057,2,Febrero
2021-02-10,Buenos Aires,Pampeana,81,1,17541141,1762,44,43.7,0.4,0.46,0.0057,2,Febrero
2021-02-11,Buenos Aires,Pampeana,64,3,17541141,1826,47,41.6,0.7,0.36,0.0171,2,Febrero
2021-02-12,Buenos Aires,Pampeana,57,1,17541141,1883,48,47.1,0.9,0.32,0.0057,2,Febrero
2021-02-13,Buenos Aires,Pampeana,37,0,17541141,1920,48,46.3,0.9,0.21,0.0,2,Febrero
2021-02-14,Buenos Aires,Pampeana,13,0,17541141,1933,48,47.4,0.9,0.07,0.0,2,Febrero
2021-02-15,Buenos Aires,Pampeana,42,0,17541141,1975,48,51.0,0.9,0.24,0.0,2,Febrero
2021-02-16,Buenos Aires,Pampeana,52,2,17541141,2027,50,49.4,1.0,0.3,0.0114,2,Febrero
2021-02-17,Buenos Aires,Pampeana,99,3,17541141,2126,53,52.0,1.3,0.56,0.0171,2,Febrero
2021-02-18,Buenos Aires,Pampeana,79,4,17541141,2205,57,54.1,1.4,0.45,0.0228,2,Febrero
2021-02-19,Buenos Aires,Pampeana,18,0,17541141,2223,57,48.6,1.3,0.1,0.0,2,Febrero
2021-02-20,Buenos Aires,Pampeana,57,0,17541141,2280,57,51.4,1.3,0.32,0.0,2,Febrero
2021-02-21,Buenos Aires,Pampeana,44,2,17541141,2324,59,55.9,1.6,0.25,0.0114,2,Febrero
2021-02-22,Buenos Aires,Pampeana,56,5,17541141,2380,64,57.9,2.3,0.32,0.0285,2,Febrero
2021-02-23,Buenos Aires,Pampeana,98,1,17541141,2478,65,64.4,2.1,0.56,0.0057,2,Febrero
2021-02-24,Buenos Aires,Pampeana,113,4,17541141,2591,69,66.4,2.3,0.64,0.0228,2,Febrero
2021-02-25,Buenos Aires,Pampeana,113,2,17541141,2704,71,71.3,2.0,0.64,0.0114,2,Febrero
2021-02-26,Buenos Aires,Pampeana,63,4,17541141,2767,75,77.7,2.6,0.36,0.0228,2,Febrero
2021-02-27,Buenos Aires,Pampeana,57,3,17541141,2824,78,77.7,3.0,0.32,0.0171,2,Febrero
2021-02-28,Buenos Aires,Pampeana,73,2,17541141,2897,80,81.9,3.0,0.42,0.0114,2,Febrero
2021-03-01,Buenos Aires,Pampeana,127,0,17541141,3024,80,92.0,2.3,0.72,0.0,3,Marzo
2021-03-02,Buenos Aires,Pampeana,88,1,17541141,3112,81,90.6,2.3,0.5,0.0057,3,Marzo
2021-03-03,Buenos Aires,Pampeana,101,4,17541141,3213,85,88.9,2.3,0.58,0.0228,3,Marzo
2021-03-04,Buenos Aires,Pampeana,78,3,17541141,3291,88,83.9,2.4,0.44,0.0171,3,Marzo
2021-03-05,Buenos Aires,Pampeana,80,1,17541141,3371,89,86.3,2.0,0.46,0.0057,3,Marzo
2021-03-06,Buenos Aires,Pampeana,101,1,17541141,3472,90,92.6,1.7,0.58,0.0057,3,Marzo
2021-03-07,Buenos Aires,Pampeana,117,0,17541141,3589,90,98.9,1.4,0.67,0.0,3,Marzo
2021-03-08,Buenos Aires,Pampeana,130,5,17541141,3719,95,99.3,2.1,0.74,0.0285,3,Marzo
2021-03-09,Buenos Aires,Pampeana,168,4,17541141,3887,99,110.7,2.6,0.96,0.0228,3,Marzo
2021-03-10,Buenos Aires,Pampeana,155,2,17541141,4042,101,118.4,2.3,0.88,0.0114,3,Marzo
2021-03-11,Buenos Aires,Pampeana,131,3,17541141,4173,104,126.0,2.3,0.75,0.0171,3,Marzo
2021-03-12,Buenos Aires,Pampeana,169,0,17541141,4342,104,138.7,2.1,0.96,0.0,3,Marzo
2021-03-13,Buenos Aires,Pampeana,148,2,17541141,4490,106,145.4,2.3,0.84,0.0114,3,Marzo
2021-03-14,Buenos Aires,Pampeana,120,6,17541141,4610,112,145.9,3.1,0.68,0.0342,3,Marzo
2021-03-15,Buenos Aires,Pampeana,228,5,17541141,4838,117,159.9,3.1,1.3,0.0285,3,Marzo
