id_transaccion,monto_usd,pais,hora,es_fraude,alerta_modelo
1,942.92,MX,12,0,0
2,389.63,CL,22,0,0
3,288.16,AR,10,0,0
4,4027.25,BR,8,0,0
5,798.21,CL,22,0,0
6,2622.52,AR,2,0,1
7,111.11,US,22,0,0
8,305.76,AR,15,0,0
9,4481.3,BR,19,0,0
10,109.15,MX,15,0,0
11,704.94,AR,6,0,0
12,3031.6,AR,6,0,0
13,726.25,AR,14,0,0
14,2944.11,BR,23,0,0
15,202.54,US,4,0,0
16,552.08,BR,11,0,0
17,522.18,AR,21,0,0
18,1700.82,MX,20,0,0
19,3627.56,US,13,0,0
20,3317.07,BR,4,0,0
21,4842.89,US,20,0,0
22,1949.68,MX,13,0,0
23,1680.43,AR,3,0,0
24,669.23,AR,8,0,0
25,846.88,AR,21,0,0
26,111.71,BR,23,0,0
27,429.69,BR,4,0,0
28,163.32,AR,23,0,0
29,1833.09,AR,0,0,0
30,3269.92,AR,18,0,0
31,5870.02,AR,0,0,0
32,178.33,CL,2,0,0
33,1263.66,AR,3,0,0
34,6916.07,CL,3,0,0
35,2081.47,BR,3,0,0
36,140.5,AR,21,0,0
37,155.78,US,6,0,0
38,8242.67,CL,22,0,0
39,494.75,AR,22,0,0
40,25854.0,BR,20,0,0
41,308.15,BR,7,0,0
42,2969.48,US,12,0,1
43,169.12,AR,5,0,0
44,2954.97,BR,1,0,0
45,1830.08,AR,23,0,0
46,10834.34,US,17,0,0
47,237.9,MX,2,0,0
48,3839.92,AR,6,0,0
49,441.82,AR,20,0,0
50,2261.65,MX,4,0,0
51,678.85,BR,20,0,0
52,1043.76,MX,3,0,0
53,1185.99,US,10,0,0
54,223.99,MX,20,0,0
55,6150.43,AR,19,0,0
56,356.4,CL,22,0,0
57,3865.81,US,17,0,0
58,927.96,US,7,0,0
59,705.42,MX,8,1,1
60,6648.51,AR,9,0,0
61,218.01,AR,2,0,0
62,496.79,US,15,0,0
63,3837.03,US,3,0,0
64,757.08,AR,6,0,0
65,1035.74,MX,13,0,0
66,857.7,CL,9,0,0
67,159.9,MX,6,0,0
68,1776.23,AR,4,0,0
69,289.94,BR,18,0,0
70,1531.51,US,12,0,0
71,788.25,US,23,0,0
72,524.08,BR,21,0,0
73,1233.93,US,12,0,0
74,1446.94,AR,7,0,0
75,1539.24,AR,2,0,0
76,2879.46,CL,21,0,0
77,871.2,AR,12,0,0
78,1762.03,AR,8,0,0
79,514.26,CL,5,0,0
80,176.08,US,19,0,0
81,1758.97,CL,6,0,0
82,364.63,BR,12,0,0
83,477.49,AR,4,0,0
84,2341.34,US,15,0,1
85,701.38,US,21,0,0
86,3271.91,CL,9,0,0
87,10628.34,BR,1,0,0
88,1510.34,US,2,0,0
89,1754.98,BR,2,0,0
90,522.29,US,1,0,0
